experiment_id,experiment_number,attack_type,quantum_state,shots,zero_count,one_count,probability_0,probability_1,error_rate,noise_probability,threshold,decision
2c93ee25-bcb4-408c-92b2-849779905c23,1,LEGITIMATE,Z,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
b0240671-4122-45a8-81c5-12dee6262d60,1,LEGITIMATE,X,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
f5346191-fe65-4259-a85c-0d18074ac354,1,LEGITIMATE,Y,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
0d003965-7ec4-4618-8229-a9a456759109,2,LEGITIMATE,Z,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
3cfcb2d4-55dc-4c3b-b573-97b3fce6e420,2,LEGITIMATE,X,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
4a4ab00d-8265-4b7b-b29e-c1686fd5ad69,2,LEGITIMATE,Y,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
743529d4-5719-4ea9-96b1-90a6d656cea6,3,LEGITIMATE,Z,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
08545bb5-ea86-47eb-ab26-7833922a426c,3,LEGITIMATE,X,1000,985,15,0.985,0.015,0.015,0.02,0.0154,LEGITIMATE
b290f8e6-5e5a-4fd2-85b4-e5ec34bb594e,3,LEGITIMATE,Y,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
03d1c94f-3f77-4542-bf71-dd6cab23d8c8,4,LEGITIMATE,Z,1000,986,14,0.986,0.014,0.014,0.02,0.0154,LEGITIMATE
114a4f61-327c-4a69-b303-110aadbee185,4,LEGITIMATE,X,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
59da286c-487e-4199-b117-75bf446e7ed8,4,LEGITIMATE,Y,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
52622cfe-3640-45b3-a1bd-3aa10dcd06a8,5,LEGITIMATE,Z,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
5af90e97-fac3-4709-9046-42304c60ad77,5,LEGITIMATE,X,1000,987,13,0.987,0.013,0.013,0.02,0.0154,LEGITIMATE
290fb0bf-3cb8-4689-8fbd-0662e864868f,5,LEGITIMATE,Y,1000,989,11,0.989,0.011,0.011,0.02,0.0154,LEGITIMATE
d04e2b2f-353f-4489-a291-4a72cbdb45cd,6,LEGITIMATE,Z,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
6ba28fe9-e637-4aed-af21-f0cb06747d90,6,LEGITIMATE,X,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
da1fe609-0345-4db4-a6d6-b583f006b274,6,LEGITIMATE,Y,1000,989,11,0.989,0.011,0.011,0.02,0.0154,LEGITIMATE
21c51ba7-d3a8-4124-97b8-f7b9d40f96ec,7,LEGITIMATE,Z,1000,989,11,0.989,0.011,0.011,0.02,0.0154,LEGITIMATE
35e04192-4f1a-44a2-9d62-2b0f6c7d4776,7,LEGITIMATE,X,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
b03b367b-5d34-477a-8e9f-4a9ff733b307,7,LEGITIMATE,Y,1000,984,16,0.984,0.016,0.016,0.02,0.0154,SUSPICIOUS / ATTACK
30ef2ae9-1157-48f0-830c-16c72e540965,8,LEGITIMATE,Z,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
ca13cbc0-3e9c-4845-a411-90519159b7aa,8,LEGITIMATE,X,1000,988,12,0.988,0.012,0.012,0.02,0.0154,LEGITIMATE
b7b8372b-8416-4ac2-b84d-8d0bb07d3d55,8,LEGITIMATE,Y,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
0300d2ce-6511-4403-9df3-27219c7a3d0b,9,LEGITIMATE,Z,1000,995,5,0.995,0.005,0.005,0.02,0.0154,LEGITIMATE
4f96ede7-0d08-4d74-bdeb-59a3198ed29e,9,LEGITIMATE,X,1000,986,14,0.986,0.014,0.014,0.02,0.0154,LEGITIMATE
5bf9acfb-b397-4609-87a1-693b4e3918a3,9,LEGITIMATE,Y,1000,988,12,0.988,0.012,0.012,0.02,0.0154,LEGITIMATE
845be6fd-7036-43e4-a2fa-c3ec560c88e9,10,LEGITIMATE,Z,1000,996,4,0.996,0.004,0.004,0.02,0.0154,LEGITIMATE
69baeb57-63dc-464f-88dc-97da9cc4edba,10,LEGITIMATE,X,1000,984,16,0.984,0.016,0.016,0.02,0.0154,SUSPICIOUS / ATTACK
697b64e9-6862-4857-bd1f-4546ef9d829e,10,LEGITIMATE,Y,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
73b21095-e152-4bb2-952e-ea15780e54fb,11,LEGITIMATE,Z,1000,987,13,0.987,0.013,0.013,0.02,0.0154,LEGITIMATE
53780e2d-ed21-437c-b555-e16aaf3f2e57,11,LEGITIMATE,X,1000,996,4,0.996,0.004,0.004,0.02,0.0154,LEGITIMATE
c10c8f79-a3a1-404a-889d-65a4c6576877,11,LEGITIMATE,Y,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
5525431f-afc8-442b-8bdb-2d42a693b12f,12,LEGITIMATE,Z,1000,985,15,0.985,0.015,0.015,0.02,0.0154,LEGITIMATE
d1ba3c88-48a2-4395-bfde-f1df2327f6ce,12,LEGITIMATE,X,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
5872a033-a9b9-4708-bd87-52b05693f11f,12,LEGITIMATE,Y,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
3d8ce188-431d-49fd-879e-4f61622b0cbd,13,LEGITIMATE,Z,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
3472cf1b-cf77-46e8-8488-94d06781e532,13,LEGITIMATE,X,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
5b646ad6-39a2-4793-86a5-75ec288fdfa6,13,LEGITIMATE,Y,1000,988,12,0.988,0.012,0.012,0.02,0.0154,LEGITIMATE
28559edb-9e73-414a-a534-b16a94b61792,14,LEGITIMATE,Z,1000,988,12,0.988,0.012,0.012,0.02,0.0154,LEGITIMATE
ddb06681-65d9-4966-bf4b-f184edab8e1f,14,LEGITIMATE,X,1000,989,11,0.989,0.011,0.011,0.02,0.0154,LEGITIMATE
b77f32f6-5438-4569-ba67-db4aaacda411,14,LEGITIMATE,Y,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
df93f50e-198a-42f9-bb4a-c18a252ceadf,15,LEGITIMATE,Z,1000,987,13,0.987,0.013,0.013,0.02,0.0154,LEGITIMATE
7cedf56f-65b5-4139-8fc5-bb1a58509f6d,15,LEGITIMATE,X,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
5d7fee72-b67f-4155-8d8d-74aa2b120e5f,15,LEGITIMATE,Y,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
d33c341f-7423-4916-b997-2930b3038246,16,LEGITIMATE,Z,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
bac8b788-503b-4d43-818f-f00de75d1adb,16,LEGITIMATE,X,1000,989,11,0.989,0.011,0.011,0.02,0.0154,LEGITIMATE
544b9386-b4bd-4aee-b454-7d7603196c3a,16,LEGITIMATE,Y,1000,983,17,0.983,0.017,0.017,0.02,0.0154,SUSPICIOUS / ATTACK
19d4ed7f-9795-447d-9d3a-1465853322b0,17,LEGITIMATE,Z,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
0481fb48-2a36-4847-b33d-5e85208a2cc0,17,LEGITIMATE,X,1000,996,4,0.996,0.004,0.004,0.02,0.0154,LEGITIMATE
dfc596f9-e7b8-48c5-92c3-d149a8183c05,17,LEGITIMATE,Y,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
8ced946a-6f76-4b3a-9f76-5acd5ac7a347,18,LEGITIMATE,Z,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
8994dc6b-6064-4d22-8ede-68be31e0211b,18,LEGITIMATE,X,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
1a936152-b4f2-4b8d-b8ea-9b52f4750236,18,LEGITIMATE,Y,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
9c3191e3-9ea8-49a0-8b85-f37031e60b45,19,LEGITIMATE,Z,1000,996,4,0.996,0.004,0.004,0.02,0.0154,LEGITIMATE
e4c90c94-7c30-4995-832c-7520e6d43ebc,19,LEGITIMATE,X,1000,990,10,0.99,0.01,0.01,0.02,0.0154,LEGITIMATE
497c2845-2fb8-46b2-88bf-ef42493c33f6,19,LEGITIMATE,Y,1000,987,13,0.987,0.013,0.013,0.02,0.0154,LEGITIMATE
be42947c-e073-45e6-87fc-8aade119fe13,20,LEGITIMATE,Z,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
bd171bef-28ff-4e88-a012-13f8d20f59a2,20,LEGITIMATE,X,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
4b6acb24-fe5b-474f-ade5-9fcdc7526b90,20,LEGITIMATE,Y,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
8c952fae-dcdf-40cd-844c-90caf9792811,21,LEGITIMATE,Z,1000,995,5,0.995,0.005,0.005,0.02,0.0154,LEGITIMATE
f12c3530-8b86-4edd-8ec4-6cdc615a91c3,21,LEGITIMATE,X,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
838575f5-7fb6-4ce0-af52-d4de4fbe9a06,21,LEGITIMATE,Y,1000,993,7,0.993,0.007,0.007,0.02,0.0154,LEGITIMATE
89cdc52f-6bd6-44c5-925d-497f382a796d,22,LEGITIMATE,Z,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
9c9564be-7d18-413a-98c0-4e5fa171c410,22,LEGITIMATE,X,1000,983,17,0.983,0.017,0.017,0.02,0.0154,SUSPICIOUS / ATTACK
a0904479-2120-45d4-a21e-bafa6101f18e,22,LEGITIMATE,Y,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
f0dd9cfd-0d7b-4b0d-a044-1cc1bdfb3776,23,LEGITIMATE,Z,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
93b26904-1299-469f-8590-71fbd033c484,23,LEGITIMATE,X,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
27a426ba-d7f4-4522-9b00-0baacb98feae,23,LEGITIMATE,Y,1000,992,8,0.992,0.008,0.008,0.02,0.0154,LEGITIMATE
d8c66507-eacc-470e-846a-fbf02f375fc0,24,LEGITIMATE,Z,1000,988,12,0.988,0.012,0.012,0.02,0.0154,LEGITIMATE
8fd9c106-c9d0-47f0-8ad4-bf9ab33e63f9,24,LEGITIMATE,X,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
dce01a34-aa6c-427a-b05e-34d44d50f7ef,24,LEGITIMATE,Y,1000,994,6,0.994,0.006,0.006,0.02,0.0154,LEGITIMATE
4c9f0fe0-9909-44b4-b13f-fdcae288ea9d,25,LEGITIMATE,Z,1000,997,3,0.997,0.003,0.003,0.02,0.0154,LEGITIMATE
e3439225-5bc7-4f33-bd30-1a3fdc92c088,25,LEGITIMATE,X,1000,986,14,0.986,0.014,0.014,0.02,0.0154,LEGITIMATE
e4e84753-f152-48c9-bb64-5573c4e05d5a,25,LEGITIMATE,Y,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
c2c22fbb-77f5-4843-9f4d-2d7ffe11f17c,26,LEGITIMATE,Z,1000,991,9,0.991,0.009,0.009,0.02,0.0154,LEGITIMATE
